url,views,likes,dislikes,comments,duration
https://youtu.be/HCTKe3SwUHU,3934941,13678,1176,441,4:50
https://youtu.be/e3ZzwEC5pZ0,2884092,6820,852,204,3:19
https://youtu.be/Ih6PZ4KK4v0,2242838,8171,849,172,4:25
https://youtu.be/D5ghxWk70u4,2195138,7885,816,116,1:34
https://youtu.be/3DXxAzfrU40,1997674,7308,526,248,4:30
https://youtu.be/87QkHyAc5HA,1808243,5778,388,138,4:17
https://youtu.be/z2jGcE3O2yA,1760346,6095,615,113,2:01
https://youtu.be/moCyanUBWps,1728495,5339,502,72,1:35
https://youtu.be/16m0-82_Igs,1540218,5247,870,152,3:45
https://youtu.be/-oFwyHwg4TM,1517180,4969,340,85,1:51
https://youtu.be/N5eryth3Jno,1437967,4192,333,65,3:50
https://youtu.be/7arnxebkEUU,1414024,6233,391,130,5:10
https://youtu.be/an_rQSvxrIM,1375469,3708,423,61,2:48
https://youtu.be/ZkgP8yeiX1o,1344602,3635,411,65,2:59
https://youtu.be/Rb7gaPBURwU,1231332,2438,190,58,1:46
https://youtu.be/BJnORz1WFMo,1173346,5786,288,156,4:20
https://youtu.be/ZQir3l1VrVo,1136962,3766,234,107,4:20
https://youtu.be/TZJwfWvvv60,1119077,3339,258,55,2:29
https://youtu.be/ZzXCdsQAvEY,1108879,4471,278,54,3:25
https://youtu.be/HtqqKTTiU3w,1081622,5144,288,84,2:11
https://youtu.be/YPieQWuJJFg,1059189,5268,327,96,2:39
https://youtu.be/bzVJUkNNJ9Q,1043046,3184,231,46,1:39
https://youtu.be/keoWCJkrdqs,1036921,3558,246,56,2:46
https://youtu.be/sOWmXDL8T68,1035993,3209,225,44,1:33
https://youtu.be/fCpr6SFJQsE,991788,3680,216,45,3:22
https://youtu.be/H_AWoRuyy5U,968141,3064,157,78,3:11
https://youtu.be/rg8L5MqjDF4,954098,4244,286,89,2:56
https://youtu.be/goJ9ovQEtSQ,951707,3618,209,55,2:44
https://youtu.be/4gYSgEpSsYc,940141,3476,171,62,3:12
https://youtu.be/8XgcIFcc0TI,935849,2942,188,63,3:29
https://youtu.be/l6kHHRGPdZ4,905591,3413,173,77,3:50
https://youtu.be/Py6AzpZpc-Y,898193,3763,165,87,2:35
https://youtu.be/wqdP7jduzXo,893110,4421,229,128,3:07
https://youtu.be/iPCRAW_Jecc,892697,2091,112,41,1:50
https://youtu.be/4Vai3furaS8,891348,4383,191,74,2:21
https://youtu.be/xq3hpMwZF4E,890122,4455,189,66,2:24
https://youtu.be/I2pX4UZ4gJU,879238,3415,178,54,2:01
https://youtu.be/lfKiq6Qe880,843171,2479,168,44,1:40
https://youtu.be/ty8VH9jpVkU,837318,3223,179,23,2:05
https://youtu.be/65lQYk5SUAY,806010,2472,120,74,4:21
https://youtu.be/AJV8j3XuVpM,793373,2040,70,43,1:18
https://youtu.be/2BGZJaFd2Vw,790561,2016,79,55,2:33
https://youtu.be/ETyz3YbZ2ls,775154,2651,183,33,2:52
https://youtu.be/hvUyvsaVmQQ,773677,3786,259,65,2:26
https://youtu.be/p8koB5Dx5x8,764839,3399,210,68,3:23
https://youtu.be/s-zo29VaCao,760083,3129,170,50,3:59
https://youtu.be/8U7grHLj-uY,747823,3955,227,149,5:49
https://youtu.be/su_eh7PKgWc,745525,3927,282,103,4:34
https://youtu.be/4vDiBlRmFwI,740218,3580,193,98,2:49
https://youtu.be/XJ6L4B2mluA,713552,2656,145,37,3:05
https://youtu.be/vtWIG1U1Qwk,709059,2167,112,41,1:29
https://youtu.be/SlLwcM9y00w,708234,2987,122,37,1:45
https://youtu.be/gCYod49MYII,707141,3949,253,81,3:40
https://youtu.be/g-SU604xRK0,705990,3701,216,132,3:09
https://youtu.be/l4p3EXW1MEM,685634,3019,131,84,2:36
https://youtu.be/EzQr9kXIp0U,683613,4373,209,89,2:59
https://youtu.be/cIU6H6DTLr8,682401,1895,143,40,2:25
https://youtu.be/tC0oTbzztk8,679497,2404,118,34,3:00
https://youtu.be/jXXdxRcmpNY,673726,2998,111,65,1:59
https://youtu.be/2gZ-NK4GJZY,667419,1008,53,17,1:27
https://youtu.be/kIc8JOhTGbE,665349,2684,174,66,4:28
https://youtu.be/F65-KmCZpNc,656369,3953,126,121,2:19
https://youtu.be/AXFZ8ymj--w,655946,3728,199,111,4:53
https://youtu.be/P4FOCwZYSnk,647644,2829,132,81,3:40
https://youtu.be/0Aoy7CHMZvA,646141,3561,134,82,1:46
https://youtu.be/ZVSYU_ez_dY,635320,2548,122,64,2:22
https://youtu.be/kBuXMQxDwcs,624677,2988,126,97,5:07
https://youtu.be/t79x_fKiVEk,621990,2269,102,58,4:18
https://youtu.be/btAbpgvXu5M,612280,2797,93,33,3:14
https://youtu.be/_z9rT98bk0Q,611862,2079,106,51,1:55
https://youtu.be/41OefT1qctA,609644,2563,91,33,2:02
https://youtu.be/LUxG_e5VkFg,609099,2456,127,77,4:18
https://youtu.be/CFm_JkzEL8Q,598689,3734,176,88,4:17
https://youtu.be/QL4ZKNEWB7c,597351,1882,100,26,3:18
https://youtu.be/ZRx834p4chA,580289,3180,221,117,5:37
https://youtu.be/kolSov5YzHw,569545,1157,55,23,2:31
https://youtu.be/YP4Q6dkI_0o,565331,3013,238,50,2:57
https://youtu.be/FtfabcuKOD4,561920,1937,134,51,2:08
https://youtu.be/koteRzVQrM4,556635,2594,108,44,3:39
https://youtu.be/331ZGPNEFBs,553979,2957,131,31,2:34
https://youtu.be/Vn0F9v68HP8,548066,3072,137,46,4:07
https://youtu.be/WuzT_vKu-u4,535920,3613,112,74,2:53
https://youtu.be/417TLKVD54U,534722,2965,115,50,3:23
https://youtu.be/uLfQ7nMfIHE,533893,1894,80,16,2:02
https://youtu.be/CDdaWrIjalo,531302,1962,73,38,2:53
https://youtu.be/u8euvFfUWWw,529203,2471,149,51,1:40
https://youtu.be/iXQc7hUtK2I,527601,2408,64,36,1:32
https://youtu.be/t6kKe5nAddg,509798,2274,115,37,2:47
https://youtu.be/Khc_Ct08b9k,506991,2150,91,41,2:09
https://youtu.be/vbsC8iAwZE4,502517,2543,96,68,4:25
https://youtu.be/rojemkApj58,502230,1831,65,29,2:05
https://youtu.be/a_KLb1uX_mc,494620,2110,118,37,2:09
https://youtu.be/K_kuz43dZJc,493778,932,34,17,1:47
https://youtu.be/13-sTb5uYH8,493171,1781,95,30,3:25
https://youtu.be/ZHNMkOQ6WpM,485500,1137,61,17,2:48
https://youtu.be/CRcYPJ-KLs4,484437,1671,132,52,4:31
https://youtu.be/ow1FfDmKv6c,471346,1966,148,37,4:05
https://youtu.be/9UhfhxILg4o,463464,2036,109,33,3:57
https://youtu.be/_cMkRK3tFQw,459967,1903,85,69,4:13
https://youtu.be/K9BDnmNx4Ic,457286,1954,92,33,3:32
https://youtu.be/YyWl8raGwyg,451898,1236,73,31,2:47
https://youtu.be/2yBuEs8UXcE,447785,1801,85,42,2:39
https://youtu.be/mHr8lcIK5AI,447606,2020,120,29,4:14
https://youtu.be/VGUGkjpM0QA,445750,2575,105,21,2:03
https://youtu.be/w4-Yja-omx8,444731,2601,131,43,2:17
https://youtu.be/spddQrkdohk,443676,1958,104,21,2:27
https://youtu.be/l6xts0RYR_k,442056,2441,105,33,1:49
https://youtu.be/aysbdAuVO4c,435273,2376,125,43,2:48
https://youtu.be/jLZNtQKFoAc,433889,2135,89,38,2:22
https://youtu.be/1KxxApbZa6M,433613,2365,98,41,3:16
https://youtu.be/379BAt3RevQ,404651,2047,112,64,3:46
https://youtu.be/6FXHg3S0F-0,404185,2367,76,41,3:13
https://youtu.be/GfQNUC7DKrE,403335,1562,65,16,1:48
https://youtu.be/nfioZxPLwBg,397850,2035,61,29,3:37
https://youtu.be/eYibG0176rM,395908,1112,35,20,2:02
https://youtu.be/5whA7Y64K-s,394561,2131,81,67,2:06
https://youtu.be/6iR5oe-tj3g,392845,1853,91,42,2:21
https://youtu.be/mSEqnf0_IJI,388556,1827,53,45,3:53
https://youtu.be/eK9amfuPTP8,380695,1466,72,32,1:28
https://youtu.be/BueL5UsNsqM,372803,1645,60,51,2:15
https://youtu.be/oguQU4NqIKM,368670,1906,90,38,4:10
https://youtu.be/SCeGm1WOxIE,366166,1688,45,36,1:46
https://youtu.be/oiqDhLquNDU,355881,3091,95,57,3:40
https://youtu.be/9waE9oRnddw,346236,2649,59,59,2:44
https://youtu.be/uObBR5ju488,345957,1444,82,24,2:31
https://youtu.be/azdBBWrI2J4,335384,1088,37,25,2:24
https://youtu.be/dXWm_NEWbfM,334203,795,38,36,1:16
https://youtu.be/0iKAm_aZ7Og,330985,1216,35,43,4:48
https://youtu.be/HrjZOMeOMzw,328905,2682,91,43,2:04
https://youtu.be/0izSdtGfw28,325513,737,44,15,2:03
https://youtu.be/HJ_hMRZ8m9c,319678,779,42,12,0:53
https://youtu.be/smPgnvUoJtU,317956,1255,51,36,4:34
https://youtu.be/088OKSJV3QE,312531,1781,51,21,1:58
https://youtu.be/b0lucYjqlUM,306652,2153,67,25,2:01
https://youtu.be/mvt-WTopZbM,305293,1358,50,15,3:25
https://youtu.be/uWqLz0r8xPM,303841,623,21,13,1:46
https://youtu.be/DMBmsT6qhSU,303294,1844,61,30,3:28
https://youtu.be/5jDf-ByIAB0,299020,1665,79,17,2:34
https://youtu.be/9OIvv9v7fh8,298616,1024,23,31,3:14
https://youtu.be/CGR8uTdJp6s,297955,1483,45,26,2:58
https://youtu.be/QDEwQvMl_Lk,283706,639,27,6,1:02
https://youtu.be/2T3Et10cvcg,282229,1030,35,27,1:55
https://youtu.be/HW_cVMBa8bU,274523,1392,41,10,2:06
https://youtu.be/KcBfrqmfrAE,273315,1381,34,30,1:17
https://youtu.be/cbR5i3gj684,263009,1686,65,32,3:46
